ECOCYC	Fig6_neg_replicate1	Fig6_neg_replicate2	Fig6_pos_replicate1	Fig6_pos_replicate2
EG12278	7.36799E-06	1.43938E-05	1.06361E-05	1.17782E-05
EG12279	8.34892E-07	7.44589E-06	8.60862E-07	1.07247E-05
EG12280	0	1.36235E-05	0	7.631E-06
EG12281	0	1.12092E-05	0	7.53441E-06
EG12282	0	3.74167E-06	0	5.03001E-06
EG12283	4.22521E-07	4.84484E-06	0	2.89468E-06
EG12288	1.18186E-05	1.14724E-05	6.96357E-06	9.63916E-06
EG12289	2.43801E-05	2.34325E-05	2.02872E-05	2.05121E-05
EG12290	0	2.33649E-06	0	1.06794E-05
EG12291	1.28712E-06	4.91961E-06	0	0
EG12293	0	3.22849E-06	0	6.20019E-06
EG11187	8.40982E-06	1.00843E-05	2.55042E-06	1.94876E-05
EG11762	7.66949E-05	3.40253E-05	5.78983E-05	3.04939E-05
EG11763	2.70798E-06	1.03503E-05	0	0
EG11764	7.33559E-07	1.02806E-05	4.53827E-06	1.44486E-05
EG11765	6.89303E-06	1.46369E-05	0	9.83832E-06
EG11766	5.94057E-07	9.08235E-06	4.28776E-06	2.03493E-06
EG11964	7.35257E-05	3.80558E-05	7.8182E-05	6.29652E-05
EG12295	0.000339801	0.000218923	0.000300602	0.000269502
EG12298	1.30321E-05	2.15848E-05	1.03021E-05	1.33924E-05
G0-16666	0	2.1084E-06	5.11906E-06	1.41719E-05
G0-10468	0.000156882	0.000197347	0.000108524	0.000170062
G0-10605	0	6.32521E-06	0	0
EG11192	0.000129356	0.000164192	0.000147315	0.000179392
EG11683	0	7.73764E-06	4.17476E-06	9.24611E-06
EG11684	1.99978E-05	6.49388E-05	3.97311E-05	6.09838E-05
EG11685	5.2151E-06	1.3976E-05	8.71498E-06	1.81722E-05
EG11686	1.50769E-06	9.60444E-06	4.66378E-06	7.74687E-06
EG11688	6.31861E-06	1.84006E-05	1.58225E-05	1.46872E-05
EG11690	1.84118E-05	2.93222E-05	1.89846E-05	2.83813E-05
EG11312	8.41537E-05	3.81215E-05	3.79223E-05	4.48415E-05
G0-10469	5.67385E-06	1.44576E-05	8.77553E-06	2.67241E-05
EG11195	0.000115414	0.00014443	0.000135929	0.000137054
EG11196	1.56778E-05	1.46479E-05	3.23309E-06	3.93829E-05
EG11197	0.000141035	0.000294531	0.000172053	0.000261072
G0-10470	4.84917E-06	0.00016269	1.5E-05	0.000138423
EG11536	1.65607E-05	4.06001E-05	2.01805E-05	3.60999E-05
EG11694	2.51222E-06	2.88064E-05	3.02209E-05	4.58963E-05
EG11695	9.19071E-06	1.46369E-06	1.65841E-05	1.1806E-05
EG11696	2.15704E-05	1.98481E-05	1.60632E-05	3.48921E-05
EG11697	1.85346E-05	1.88913E-05	9.55557E-06	1.58725E-06
EG11705	4.7453E-06	9.95776E-06	3.45382E-06	1.43426E-05
EG11706	2.43023E-07	1.33139E-05	3.007E-06	4.16236E-06
EG11707	7.46359E-06	1.42636E-05	1.49105E-05	2.39685E-06
EG11711	0	7.41029E-07	2.99861E-06	4.98091E-06
EG11712	0.000118972	5.58442E-05	0.000113634	9.43769E-05
EG11713	3.00742E-05	4.55537E-05	1.51603E-05	3.60565E-05
EG11719	1.26949E-06	1.61741E-05	4.58144E-06	9.78441E-06
EG11721	8.68809E-06	2.93332E-05	1.29896E-05	2.30647E-05
EG11722	8.7854E-05	0.000123974	7.79735E-05	0.000110472
EG11723	9.5615E-05	0.000155553	0.000100864	0.000120933
EG11725	1.37757E-05	4.86642E-05	3.42193E-05	6.54204E-05
EG11728	5.76803E-06	2.93952E-06	5.35271E-06	1.1855E-05
EG11729	0	2.27059E-06	2.20513E-06	2.44192E-06
EG11733	0.000105912	0.000134938	9.86582E-05	0.000117498
EG11260	5.48361E-06	1.50208E-05	5.37148E-06	1.03312E-05
EG11459	4.87436E-05	0.000105804	5.21213E-05	9.43073E-05
G0-10471	9.60801E-05	0.000130225	9.6961E-05	0.00013655
G7798	2.13623E-05	3.19501E-05	2.10691E-05	1.59078E-05
EG11201	6.89157E-05	7.87971E-05	8.4421E-05	4.84245E-05
EG11202	6.57241E-05	9.33696E-05	6.35705E-05	0.000149427
EG11462	1.63541E-06	4.86173E-06	1.68628E-06	0
EG11464	1.09456E-05	1.39453E-05	0	9.37351E-06
EG11465	0	4.1836E-06	0	1.8747E-06
EG11467	2.0495E-05	3.63294E-05	3.12394E-05	3.66288E-05
EG11470	5.15428E-05	7.62816E-05	5.47566E-05	7.40121E-05
EG11484	6.78095E-05	0.000157235	5.10407E-05	0.0001324
EG11203	6.98341E-05	0.00010576	8.35546E-05	0.00013202
EG11830	5.71483E-05	3.34533E-05	2.38889E-05	2.11633E-05
EG11832	0	1.11387E-06	1.20196E-06	9.98269E-07
EG11833	5.81068E-06	1.19589E-05	4.6088E-06	1.45455E-05
EG11835	0.000130015	0.000152103	0.000164412	0.000119044
EG11838	7.62499E-05	9.04212E-05	7.74122E-05	4.31973E-05
EG11839	0.000159414	0.000142985	0.00017314	0.000101205
EG11840	4.51287E-05	3.31549E-05	6.41944E-05	3.55438E-05
EG11841	5.94057E-07	2.64902E-06	9.18805E-07	6.61354E-06
EG11842	9.02659E-07	6.90023E-06	3.10246E-07	3.09204E-06
EG11843	3.0709E-06	3.13E-06	8.4438E-07	3.50644E-06
EG11844	1.34961E-06	2.29263E-06	1.85545E-06	0
EG11845	5.03657E-06	9.41143E-06	4.1546E-06	2.30036E-06
EG11846	2.84661E-06	3.02229E-06	5.38112E-06	1.13762E-05
EG11847	3.71932E-06	1.18465E-06	9.58753E-07	3.18511E-06
EG11848	1.44123E-05	1.18465E-05	1.1505E-05	1.27405E-05
EG11849	4.35068E-05	9.53127E-05	2.68067E-05	3.27143E-05
EG11850	0.000361425	0.000207214	0.000316051	0.000238087
EG11851	0.000110825	5.96439E-05	0.000116736	4.99083E-05
EG11853	9.05668E-05	9.28464E-05	8.20911E-05	7.5755E-05
EG11854	0	0	0	1.30459E-05
EG11855	5.71272E-06	2.66872E-05	7.85389E-06	3.26147E-06
EG11860	1.57965E-06	1.25785E-05	0	1.01458E-05
EG11870	7.22849E-05	8.26494E-05	9.10965E-05	0.000128038
EG11874	4.03127E-05	1.77106E-05	1.86334E-05	3.92844E-05
EG11875	1.04021E-05	0.000254213	1.95012E-05	0.000299634
EG11876	0.000111208	0.000185961	0.000130434	0.000230945
EG11882	1.30107E-05	2.53008E-05	1.12972E-05	3.98767E-05
EG11395	0.000187663	0.000214003	0.000149306	0.000134916
EG11902	1.38089E-06	1.34882E-05	1.04415E-05	2.91696E-05
EG11903	2.02441E-06	0	0	0
EG11913	4.40523E-06	2.05792E-05	1.11033E-05	1.006E-05
EG11206	6.51607E-06	3.32074E-05	3.35938E-06	2.41807E-05
EG11207	2.06636E-05	2.27366E-05	2.71172E-05	3.53914E-05
EG11916	7.55026E-05	6.92241E-05	3.85618E-05	6.64711E-05
EG11917	2.03721E-05	3.12989E-05	1.60632E-05	2.05248E-05
EG11429	1.54455E-05	3.05016E-05	1.27408E-05	2.11633E-05
EG11919	3.14304E-05	2.93006E-05	2.58211E-05	2.14454E-05
EG11922	0.000186364	0.000116773	0.000140183	0.000170062
EG11923	1.71617E-05	4.59163E-05	1.23869E-05	0.000120513
EG11924	6.52626E-07	3.32593E-06	6.72928E-07	2.23556E-06
EG11925	0	2.15983E-06	0	0
EG11926	5.96607E-07	5.06741E-06	2.05055E-06	5.79039E-06
EG11927	1.31888E-06	1.00819E-06	0	4.51779E-07
EG11928	0.000200571	0.000209997	0.000212953	0.000129247
